,n_estimators,max_depth,learning_rate,colsample_bynode,reg_lambda
0,100,3,0.5,0.06,0.1
1,100,4,0.3,0.02,0.1
2,100,4,0.1,0.02,0.1
3,100,2,0.5,0.02,20.0
4,100,4,0.3,0.02,10.0
5,100,4,0.3,0.02,10.0
6,400,2,0.01,0.04,20.0
7,100,2,0.5,0.04,1.0
8,100,4,0.1,0.02,0.1
9,200,2,0.1,0.02,10.0
10,100,3,0.3,0.06,1.0
11,100,3,0.3,0.04,0.1
12,100,2,0.5,0.02,1.0
13,100,4,0.5,0.02,10.0
14,100,4,0.5,0.02,1.0
15,100,2,0.01,0.02,10.0
16,100,2,0.5,0.04,1.0
17,100,4,0.5,0.02,1.0
18,100,2,0.5,0.02,0.1
19,100,4,0.3,0.06,0.1
