,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,rank,std
SLC26A4,72,109.0,225.0,312.0,253.0,267.0,48.0,67.0,317.0,91.0,181.0,101.0,83.0,138.0,85.0,362.0,77.0,105.0,72.0,88.0,152.65,96.66968242422233
RRBP1,8,19.0,525.0,5.0,11.0,527.0,155.0,284.0,5.0,469.0,295.0,8.0,283.0,3.0,6.0,120.0,278.0,17.0,4.0,335.0,167.85,185.2777037314528
C20orf85,57,96.0,217.0,318.0,329.0,238.0,218.0,75.0,312.0,417.0,101.0,110.0,102.0,315.0,101.0,343.0,74.0,66.0,77.0,79.0,182.25,115.63428341110607
SORCS1,115,126.0,293.0,333.0,33.0,296.0,620.0,45.0,222.0,392.0,116.0,111.0,67.0,33.0,140.0,388.0,60.0,140.0,47.0,82.0,182.95,152.9926387118021
HIST1H2BD,50,104.0,282.0,327.0,323.0,298.0,407.0,60.0,331.0,403.0,109.0,86.0,63.0,185.0,81.0,318.0,58.0,78.0,42.0,93.0,184.9,129.49474892828664
FCRLB,47,108.0,275.0,323.0,309.0,262.0,820.0,80.0,327.0,298.0,106.0,76.0,82.0,36.0,48.0,311.0,82.0,71.0,35.0,59.0,187.75,182.75827614638962
SLC16A14,48,97.0,279.0,324.0,316.0,270.0,443.0,82.0,328.0,411.0,107.0,80.0,80.0,237.0,72.0,312.0,83.0,72.0,50.0,87.0,188.9,130.0361103693893
FBXL13,138,165.0,272.0,229.0,263.0,291.0,129.0,133.0,230.0,434.0,160.0,117.0,153.0,233.0,163.0,262.0,36.0,131.0,134.0,152.0,191.25,84.35512728933553
LAPTM5,250,197.0,156.0,123.0,93.0,345.0,57.0,239.0,186.0,60.0,227.0,181.0,177.0,111.0,262.0,290.0,251.0,223.0,244.0,224.0,194.8,74.56513930785619
DENND1C,46,103.0,281.0,326.0,320.0,297.0,630.0,72.0,330.0,409.0,97.0,83.0,64.0,180.0,80.0,315.0,66.0,75.0,40.0,92.0,195.3,155.3155175763195
HMMR,53,105.0,283.0,328.0,341.0,299.0,628.0,49.0,332.0,402.0,111.0,77.0,62.0,179.0,82.0,319.0,50.0,80.0,43.0,95.0,195.9,156.6301056629919
METTL7A,55,83.0,286.0,330.0,360.0,269.0,624.0,48.0,334.0,387.0,113.0,81.0,58.0,181.0,104.0,323.0,47.0,111.0,44.0,97.0,196.75,154.57033188810846
PLEKHF1,49,98.0,280.0,325.0,318.0,271.0,631.0,81.0,329.0,410.0,108.0,82.0,65.0,235.0,75.0,314.0,65.0,73.0,39.0,89.0,196.85,154.55008087995296
AMZ1,122,149.0,253.0,232.0,59.0,103.0,606.0,117.0,249.0,452.0,94.0,145.0,79.0,217.0,147.0,387.0,124.0,152.0,117.0,137.0,197.05,135.1241928745552
RASEF,54,81.0,284.0,329.0,343.0,301.0,627.0,57.0,333.0,401.0,112.0,85.0,59.0,183.0,87.0,321.0,46.0,109.0,41.0,96.0,197.45,156.0776969973609
ABHD2,117,143.0,145.0,307.0,365.0,306.0,618.0,53.0,229.0,395.0,95.0,109.0,71.0,158.0,141.0,374.0,63.0,143.0,48.0,78.0,197.9,146.57042675792414
UBE2T,73,92.0,288.0,331.0,371.0,304.0,623.0,47.0,311.0,389.0,114.0,79.0,66.0,182.0,137.0,324.0,48.0,112.0,45.0,100.0,201.8,152.90604958601213
FOLR2,83,111.0,291.0,332.0,369.0,305.0,622.0,46.0,259.0,390.0,115.0,67.0,69.0,186.0,139.0,348.0,59.0,138.0,46.0,75.0,202.5,151.5122107290366
