,n_estimators,max_depth,learning_rate,colsample_bynode,reg_lambda
0,200,2,0.01,0.1,20.0
1,100,2,0.5,0.2,0.1
2,100,3,0.3,0.02,1.0
3,100,3,0.01,0.04,20.0
4,100,2,0.3,0.02,1.0
5,100,2,0.3,0.1,20.0
6,100,2,0.5,0.2,20.0
7,200,4,0.3,0.04,10.0
8,100,4,0.5,0.04,20.0
9,100,3,0.1,0.06,0.1
10,100,3,0.01,0.2,0.1
11,100,2,0.3,0.1,1.0
12,100,3,0.5,0.1,1.0
13,100,4,0.5,0.1,0.1
14,400,2,0.01,0.04,10.0
15,100,2,0.3,0.02,10.0
16,100,2,0.3,0.2,20.0
17,100,2,0.5,0.06,0.1
18,100,3,0.5,0.02,0.1
19,100,4,0.3,0.1,20.0
