,n_estimators,max_depth,learning_rate,colsample_bynode,reg_lambda
0,100,3,0.01,0.1,0.1
1,100,4,0.5,0.02,20.0
2,100,2,0.1,0.02,0.1
3,100,2,0.5,0.04,10.0
4,100,4,0.01,0.06,0.1
5,100,4,0.3,0.2,0.1
6,400,3,0.3,0.1,10.0
7,100,2,0.5,0.02,0.1
8,100,2,0.5,0.06,0.1
9,100,3,0.5,0.06,10.0
10,100,4,0.01,0.2,0.1
11,100,4,0.5,0.06,0.1
12,100,2,0.1,0.02,0.1
13,200,2,0.01,0.2,0.1
14,100,3,0.5,0.02,0.1
15,100,2,0.1,0.04,0.1
16,100,4,0.5,0.1,1.0
17,100,2,0.01,0.2,10.0
18,100,2,0.01,0.02,0.1
19,100,3,0.1,0.04,1.0
