Symbol,NCBI GeneID,Description,Ensembl GeneIDs
TP53,7157,tumor protein p53,ENSG00000141510
EGFR,1956,epidermal growth factor receptor,ENSG00000146648
APOE,348,apolipoprotein E,ENSG00000130203
TNF,7124,tumor necrosis factor,ENSG00000232810
IL6,3569,interleukin 6,ENSG00000136244
VEGFA,7422,vascular endothelial growth factor A,ENSG00000112715
TGFB1,7040,transforming growth factor beta 1,ENSG00000105329
MTHFR,4524,methylenetetrahydrofolate reductase,ENSG00000177000
HIF1A,3091,hypoxia inducible factor 1 subunit alpha,ENSG00000100644
ERBB2,2064,erb-b2 receptor tyrosine kinase 2,ENSG00000141736
ESR1,2099,estrogen receptor 1,ENSG00000091831
IL10,3586,interleukin 10,ENSG00000136634
APP,351,amyloid beta precursor protein,ENSG00000142192
STAT3,6774,signal transducer and activator of transcription 3,ENSG00000168610
BRCA1,672,BRCA1 DNA repair associated,ENSG00000012048
ACE,1636,angiotensin I converting enzyme,ENSG00000159640
KRAS,3845,"KRAS proto-oncogene, GTPase",ENSG00000133703
BDNF,627,brain derived neurotrophic factor,ENSG00000176697
BRAF,673,"B-Raf proto-oncogene, serine/threonine kinase",ENSG00000157764
VDR,7421,vitamin D receptor,ENSG00000111424
MMP9,4318,matrix metallopeptidase 9,ENSG00000100985
CD274,29126,CD274 molecule,ENSG00000120217
CRP,1401,C-reactive protein,ENSG00000132693
AR,367,androgen receptor,ENSG00000169083
ADIPOQ,9370,"adiponectin, C1Q and collagen domain containing",ENSG00000181092
AKT1,207,AKT serine/threonine kinase 1,ENSG00000142208
ABCB1,5243,ATP binding cassette subfamily B member 1,ENSG00000085563
NFKB1,4790,nuclear factor kappa B subunit 1,ENSG00000109320
IL1B,3553,interleukin 1 beta,ENSG00000125538
CTNNB1,1499,catenin beta 1,ENSG00000168036
HLA-DRB1,3123,"major histocompatibility complex, class II, DR beta 1",ENSG00000196126
PTEN,5728,phosphatase and tensin homolog,ENSG00000171862
CDKN2A,1029,cyclin dependent kinase inhibitor 2A,ENSG00000147889
TLR4,7099,toll like receptor 4,ENSG00000136869
SNCA,6622,synuclein alpha,ENSG00000145335
PTGS2,5743,prostaglandin-endoperoxide synthase 2,ENSG00000073756
CFTR,1080,CF transmembrane conductance regulator,ENSG00000001626
NOS3,4846,nitric oxide synthase 3,ENSG00000164867
MAPT,4137,microtubule associated protein tau,ENSG00000186868
TERT,7015,telomerase reverse transcriptase,ENSG00000164362
MYC,4609,"MYC proto-oncogene, bHLH transcription factor",ENSG00000136997
CXCL8,3576,C-X-C motif chemokine ligand 8,ENSG00000169429
COMT,1312,catechol-O-methyltransferase,ENSG00000093010
MTOR,2475,mechanistic target of rapamycin kinase,ENSG00000198793
PPARG,5468,peroxisome proliferator activated receptor gamma,ENSG00000132170
SLC6A4,6532,solute carrier family 6 member 4,ENSG00000108576
CDH1,999,cadherin 1,ENSG00000039068
IGF1,3479,insulin like growth factor 1,ENSG00000017427
HLA-B,3106,"major histocompatibility complex, class I, B",ENSG00000234745
LEP,3952,leptin,ENSG00000174697
BCL2,596,BCL2 apoptosis regulator,ENSG00000171791
BRCA2,675,BRCA2 DNA repair associated,ENSG00000139618
CXCR4,7852,C-X-C motif chemokine receptor 4,ENSG00000121966
IFNG,3458,interferon gamma,ENSG00000111537
NFE2L2,4780,NFE2 like bZIP transcription factor 2,ENSG00000116044
JAK2,3717,Janus kinase 2,ENSG00000096968
MDM2,4193,MDM2 proto-oncogene,ENSG00000135679
GSTM1,2944,glutathione S-transferase mu 1,ENSG00000134184
IL17A,3605,interleukin 17A,ENSG00000112115
MMP2,4313,matrix metallopeptidase 2,ENSG00000087245
SIRT1,23411,sirtuin 1,ENSG00000096717
ACE2,59272,angiotensin converting enzyme 2,ENSG00000130234
CCND1,595,cyclin D1,ENSG00000110092
CCL2,6347,C-C motif chemokine ligand 2,ENSG00000108691
MAPK1,5594,mitogen-activated protein kinase 1,ENSG00000100030
PIK3CA,5290,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",ENSG00000121879
SERPINE1,5054,serpin family E member 1,ENSG00000106366
CD4,920,CD4 molecule,ENSG00000010610
HMGB1,3146,high mobility group box 1,ENSG00000189403
PON1,5444,paraoxonase 1,ENSG00000005421
CCR5,1234,C-C motif chemokine receptor 5,ENSG00000160791
CDKN1A,1026,cyclin dependent kinase inhibitor 1A,ENSG00000124762
SOD1,6647,superoxide dismutase 1,ENSG00000142168
NPPB,4879,natriuretic peptide B,ENSG00000120937
CTLA4,1493,cytotoxic T-lymphocyte associated protein 4,ENSG00000163599
CD44,960,CD44 molecule (IN blood group),ENSG00000026508
